FixID,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,element,tabName,questionID,participantID,file
32,1858.575,261.6765,915264.2385,915497.5775,233.339,0.5581,,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
33,1318.8173,508.1842,915572.5385,915755.862,183.3235,0.7916,Activity_0c92kcf,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
34,1019.4178,604.8385,915805.89,915989.178,183.288,0.2677,Activity_0eyrafl,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
35,786.2588,755.7329,916155.8215,916255.859,100.0375,0.1851,main,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
36,781.4895,585.5316,916405.807,916522.46,116.653,0.3353,Participant_00lgubq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
37,779.4362,592.6492,916614.121,916964.1145,349.9935,0.4738,Participant_00lgubq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
38,1174.4339,768.8001,917030.722,917647.316,616.594,0.5122,Participant_0irs6w9,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
39,1153.743,761.2498,917680.6625,917755.651,74.9885,0.1978,Participant_0irs6w9,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
40,1173.7755,755.8454,917772.306,917938.967,166.661,0.4378,Participant_0irs6w9,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
41,1178.799,751.9037,918088.9835,918180.5945,91.611,0.4236,main,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
